wb_id;wb_name;wb_project;connection_id;ds_id;ds_name;connection_type;connection_username;ds_url;ds_type
15804c32-46b7-4399-96cc-aab70f4eee22;Crossover Report;04 - Ad Hoc;6b3ffd14-8e81-4f8b-ab60-d1f9ec90ec82;c6f7bf2e-9c11-4c48-a4f3-d00f1e9469d2;Crossover Report;snowflake;tableau;$embedded$_9d7bc39e-7389-414f-9e0d-082e78527e81;snowflake extract
0d8bbc48-d456-4fc0-9fa1-bbe91018eb6a;801 Purecloud;06 - Customer Service;3e85a91e-1c31-40e4-94e8-9e8970a4ec82;b56f54d9-fce6-40ff-a6b1-9de4e7fa7534;ACTIVES_BY_BU (TABLEAU.ACTIVES_BY_BU) (TABLEAU);snowflake;tableau;$embedded$_bc75e1cb-8da2-4f5a-a6f2-0e0a434f56f2;snowflake extract
0d8bbc48-d456-4fc0-9fa1-bbe91018eb6a;801 Purecloud;06 - Customer Service;e1744a5a-f8f0-454f-991f-7b1caf9d2af3;339548bb-4361-40d9-9255-6e157061afe4;Purecloud Segments;sqlproxy;;$embedded$_f6098fc5-3bae-474e-8cd7-28933f2fd5f2;Tableau datasource
0d8bbc48-d456-4fc0-9fa1-bbe91018eb6a;801 Purecloud;06 - Customer Service;80981c05-616d-44ff-bb30-457bfd537cfc;4bd7fe1c-f736-4bca-abd7-eb7c906dea15;PURECLOUD_EVALUATIONS;snowflake;tableau;$embedded$_774c70a4-781b-4da8-9c70-359793eeb943;snowflake extract
0d8bbc48-d456-4fc0-9fa1-bbe91018eb6a;801 Purecloud;06 - Customer Service;d8622f35-4bfb-4912-bab6-119462190cfe;23253a53-d296-4421-9780-d8d985706c6e;PURECLOUD_USER_PRESENCE;snowflake;tableau;$embedded$_0bd4654b-6f8c-4935-a2ea-23d7d2b4a5a1;snowflake extract
4fca04a3-665f-4d33-927d-cfae71bf8988;Global Revenue;09 - Board Finance Groupe;6977a1c1-9e45-4d88-9b47-01bafd020249;24b06ae0-0995-44d5-be66-eac019acb4e4;Contract;sqlproxy;;$embedded$_2361fb5f-f494-4ac7-8435-568672748735;Tableau datasource
87497ddb-f6db-4d5a-a4b0-90a0c13b9a31;Rapprochement Coûts BI & Factures DAF;03 - Controlling Technique;adf70ada-3eda-488a-8712-944c9af31bb7;6abe8a44-7070-4195-9003-ba99ddf114f4;COST_INTEGRITY;snowflake;tableau;$embedded$_e196b6f6-1b25-4f01-a092-1f65603888ba;snowflake extract
87497ddb-f6db-4d5a-a4b0-90a0c13b9a31;Rapprochement Coûts BI & Factures DAF;03 - Controlling Technique;31b34be1-27e2-4880-871f-db8d6fb98b20;71e8b13e-35ce-4ae4-a57e-443685c6a02d;RECEPTIONS_SANS_FACTURES (ALARM.RECEPTIONS_SANS_FACTURES) (ALARM);snowflake;tableau;$embedded$_d9be766c-4fbc-4cb0-8d9c-89e593813a07;snowflake extract
87497ddb-f6db-4d5a-a4b0-90a0c13b9a31;Rapprochement Coûts BI & Factures DAF;03 - Controlling Technique;361de092-edda-4b10-91cf-346b37919579;3463e655-e599-4ef1-890c-895aa131581d;ATLAS_PARTNER_P (ATLAS.ATLAS_PARTNER_P) (ATLAS);snowflake;tableau;$embedded$_773aa4c0-d60c-4a15-a6a8-86eb65bff78b;snowflake extract
87497ddb-f6db-4d5a-a4b0-90a0c13b9a31;Rapprochement Coûts BI & Factures DAF;03 - Controlling Technique;2ecb08e5-5ea2-4f36-8086-5886aacdf6b4;18425cc0-242c-47b3-ace3-bac228b90f4e;LEADGEN_SUIVI_FACTURES (DAF.LEADGEN_SUIVI_FACTURES) (DAF);snowflake;tableau;$embedded$_aba9100d-d72a-4c55-b654-33c7eba68212;snowflake extract
